Incident ID,Offence Code,Victims,Crime Against,Crime Name,Crime Category,Police District Name,Police District Number,City,State,Zip Code,Agency
201087271,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,BETHESDA,2D,CHEVY CHASE,MD,20814,MCPD
201087272,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,WHEATON,4D,SILVER SPRING,MD,20902,MCPD
201087273,2305,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,CITY OF TAKOMA PARK,8D,TAKOMA PARK,MD,20912,TPPD
201087274,2305,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087276,1313,1,Crime Against Person,Simple Assault,ASSAULT - SIMPLE,ROCKVILLE,1D,POTOMAC,MD,20854,MCPD
201087278,9101,1,Other,All Other Offenses,SUDDEN DEATH,GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087280,2305,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,WHEATON,4D,SILVER SPRING,MD,20906,MCPD
201087281,2404,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,BETHESDA,2D,BETHESDA,MD,20817,MCPD
201087283,9105,1,Other,All Other Offenses,LOST PROPERTY,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20878,MCPD
201087285,1306,1,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - NON-FAMILY-STRONG-ARM,WHEATON,4D,SILVER SPRING,MD,20905,MCPD
201087285,1302,2,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,WHEATON,4D,SILVER SPRING,MD,20905,MCPD
201087286,2305,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,GERMANTOWN,5D,DAMASCUS,MD,20872,MCPD
201087290,2605,1,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,FRAUD - ILLEGAL USE CREDIT CARDS,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20877,MCPD
201087291,4104,1,Crime Against Society,Liquor Law Violations,LIQUOR - POSSESS,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20886,MCPD
201087292,9106,1,Other,All Other Offenses,MENTAL ILLNESS,SILVER SPRING,3D,SILVER SPRING,MD,20910,MCPD
201087293,9021,1,Not a Crime,Runaway,JUVENILE - RUNAWAY,WHEATON,4D,SILVER SPRING,MD,20906,MCPD
201087294,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20877,MCPD
201087295,4801,1,Crime Against Society,All Other Offenses,OBSTRUCT POLICE - RESISTING OFFICER,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087295,1311,1,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - POL OFF-OTHER WEAPON,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087295,3504,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - HALLUCINOGEN - POSSESS,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087295,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087295,2999,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087295,5403,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE DRUGS,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087295,4802,1,Crime Against Society,All Other Offenses,OBSTRUCT POLICE - OBSTRUCT CRIMINAL INVEST,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087295,1399,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20878,MCPD
201087296,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,ROCKVILLE,1D,ROCKVILLE,MD,20852,MCPD
201087297,2308,1,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,BETHESDA,2D,CHEVY CHASE,MD,20814,MCPD
201087299,1206,1,Crime Against Property,Robbery,ROBBERY - STREET-STRONG-ARM,SILVER SPRING,3D,SILVER SPRING,MD,20904,MCPD
201087300,9108,1,Other,All Other Offenses,RECOVERED PROPERTY - MONT CO.,BETHESDA,2D,POTOMAC,MD,20854,MCPD
201087307,9107,1,Other,All Other Offenses,MISSING PERSON,SILVER SPRING,3D,SILVER SPRING,MD,20901,MCPD
201087309,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,ROCKVILLE,1D,ROCKVILLE,MD,20852,MCPD
201087310,2902,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,SILVER SPRING,3D,SILVER SPRING,MD,20904,MCPD
201087311,2902,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20878,GPD
201087312,1302,2,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,GERMANTOWN,5D,GERMANTOWN,MD,20876,MCPD
201087315,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,WHEATON,4D,SILVER SPRING,MD,20902,MCPD
201087316,2902,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20877,MCPD
201087320,9108,1,Other,All Other Offenses,RECOVERED PROPERTY - MONT CO.,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20878,MCPD
201087321,9106,1,Other,All Other Offenses,MENTAL ILLNESS,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20878,GPD
201087321,1399,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20878,GPD
201087322,9042,1,Other,All Other Offenses,SUICIDE - ATTEMPT,GERMANTOWN,5D,GERMANTOWN,MD,20874,MCPD
201087323,4199,1,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),ROCKVILLE,1D,ROCKVILLE,MD,20851,MCPD
201087324,5309,1,Crime Against Society,All Other Offenses,PUBLIC PEACE - HARASSING COMMUNICATION,BETHESDA,2D,BETHESDA,MD,20817,MCPD
201087325,1399,2,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20886,MCPD
201087326,9109,1,Other,All Other Offenses,RECOVERED PROPERTY - OTHER,SILVER SPRING,3D,SILVER SPRING,MD,20903,MCPD
201087328,2305,1,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,SILVER SPRING,3D,SILVER SPRING,MD,20902,MCPD
201087329,2303,1,Crime Against Property,Shoplifting,LARCENY - SHOPLIFTING,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20877,GPD
201087330,1399,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,MONTGOMERY VILLAGE,6D,MONTGOMERY VILLAGE,MD,20886,MCPD
201087331,3562,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,GERMANTOWN,5D,GERMANTOWN,MD,20876,MCPD
201087332,9199,1,Other,All Other Offenses,POLICE INFORMATION,MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20878,MCPD
201087333,9101,1,Other,All Other Offenses,SUDDEN DEATH,WHEATON,4D,SILVER SPRING,MD,20901,MCPD
201087334,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,WHEATON,4D,ROCKVILLE,MD,20853,MCPD
201087335,1303,1,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - FAMILY-STRONG-ARM,ROCKVILLE,1D,ROCKVILLE,MD,20850,RCPD
201087337,5404,1,Crime Against Society,Driving Under the Influence,DRIVING UNDER THE INFLUENCE LIQUOR,SILVER SPRING,3D,SILVER SPRING,MD,20904,MCPD
201087338,2399,1,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),MONTGOMERY VILLAGE,6D,GAITHERSBURG,MD,20879,MCPD
201087339,1399,2,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,BETHESDA,2D,ROCKVILLE,MD,20852,MCPD
201087339,2999,1,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY (DESCRIBE OFFENSE),BETHESDA,2D,ROCKVILLE,MD,20852,MCPD
201087341,1399,1,Crime Against Person,Simple Assault,ASSAULT - 2ND DEGREE,SILVER SPRING,3D,SILVER SPRING,MD,20903,MCPD
